order_id,customer_id,cust_type,product_code,plant_id,order_date,delivery_date,order_quantity,order_value,order_status,geo_region,geo_zone,sbu_id,sbu_grp,org_unit,gbe_id,shipment_id,handled_by,customer_segment,customer_priority,material_num,discount,payment_type,tax_applied,freight_cost,currency,exchange_rate,order_fulfilled_by,returns,is_expedited
1,1102,Retail,877,77,2024-01-01,2024-01-05,39,7670.719500615164,Cancelled,East,Zone2,61,GroupC,Unit1,5702,10729,AgentB,Large,Low,46834,0.06576905764179793,NetBanking,15.712380801675927,341.8083793819372,USD,0.735728023101779,Warehouse1,1,True
2,1435,Retail,115,22,2024-01-02,2024-01-06,13,6743.447310213152,Cancelled,South,Zone3,46,GroupA,Unit1,5174,10372,AgentC,Large,Medium,43715,0.1306977864116495,UPI,12.214679353083126,297.64268214754367,INR,0.9680994133569798,Warehouse2,0,False
3,1860,Retail,810,58,2024-01-03,2024-01-07,64,4409.7097924068385,Cancelled,North,Zone2,17,GroupA,Unit1,5000,10416,AgentA,Small,Low,30773,0.0559188741046464,UPI,8.838665616278348,363.1284583920747,INR,1.0131488161782845,Warehouse3,2,True
4,1270,Wholesale,500,69,2024-01-04,2024-01-08,11,5538.1667376530295,Delivered,South,Zone1,53,GroupA,Unit1,5898,10030,AgentC,Medium,Low,43939,0.11414874834666398,NetBanking,7.5700725510665485,216.73372254746704,INR,1.491937193019952,Warehouse1,4,True
5,1106,Retail,893,11,2024-01-05,2024-01-09,19,3188.641801231543,Pending,East,Zone1,14,GroupA,Unit3,5740,10367,AgentC,Large,Low,16114,0.15443050096149294,NetBanking,9.732817333356579,424.1911729298635,EUR,0.8663086975355003,Warehouse1,4,False
6,1071,Wholesale,185,69,2024-01-06,2024-01-10,11,4876.754160330071,Cancelled,South,Zone2,78,GroupC,Unit1,5085,10558,AgentB,Small,Low,42939,0.1856017483549108,NetBanking,13.670603884126683,351.2095184866876,INR,1.1358236922960798,Warehouse3,1,True
7,1700,Retail,349,14,2024-01-07,2024-01-11,77,5116.059224929183,Delivered,West,Zone2,40,GroupC,Unit2,5573,10645,AgentA,Large,Medium,22818,0.05222542888661541,Card,10.811800222030707,387.91402506597905,INR,1.489852439358903,Warehouse3,1,True
8,1020,Wholesale,490,53,2024-01-08,2024-01-12,46,3933.64898466315,Delivered,North,Zone3,54,GroupB,Unit1,5319,10107,AgentB,Large,High,19335,0.06697139019979624,Card,17.142777661098318,398.31883686133,EUR,1.3336153663521082,Warehouse2,3,False
9,1614,Wholesale,881,36,2024-01-09,2024-01-13,45,9075.064885654412,Delivered,South,Zone1,18,GroupA,Unit3,5400,10583,AgentC,Small,High,16209,0.09285328405718794,NetBanking,16.104864458554523,55.114322397362244,INR,1.494694000705671,Warehouse2,3,True
10,1121,Retail,434,41,2024-01-10,2024-01-14,1,259.01246331196086,Cancelled,West,Zone3,41,GroupA,Unit3,5381,10838,AgentC,Large,Medium,13577,0.1854349675471978,Card,6.331208007517686,37.26397861699158,USD,1.4746386517281354,Warehouse3,3,False
11,1466,Retail,728,30,2024-01-11,2024-01-15,40,7843.495504603337,Cancelled,East,Zone2,42,GroupB,Unit3,5717,10417,AgentB,Large,High,18380,0.18027737136213143,UPI,6.70982791051423,402.4830755575206,EUR,1.0916316336753233,Warehouse2,0,True
12,1214,Retail,618,17,2024-01-12,2024-01-16,19,1331.3900292891108,Cancelled,South,Zone2,76,GroupA,Unit2,5616,10619,AgentB,Large,Low,14076,0.017975656020127607,NetBanking,13.791109408901441,137.09817030874063,EUR,1.2571006798964526,Warehouse3,4,True
13,1330,Retail,236,81,2024-01-13,2024-01-17,76,7995.718869318274,Cancelled,East,Zone3,39,GroupB,Unit1,5317,10820,AgentB,Medium,Low,42925,0.02638596515076217,Card,7.999989069744606,295.165205680789,EUR,0.7883545015529209,Warehouse3,3,False
14,1458,Wholesale,982,59,2024-01-14,2024-01-18,72,6197.52796519954,Cancelled,West,Zone2,85,GroupC,Unit1,5802,10397,AgentB,Medium,Low,21095,0.09910183546612766,NetBanking,15.283388401152767,227.41831905730325,USD,1.0529190600374414,Warehouse2,4,True
15,1087,Retail,787,76,2024-01-15,2024-01-19,72,8448.453100270384,Cancelled,East,Zone1,38,GroupB,Unit1,5249,10271,AgentB,Large,Medium,29179,0.0213238545610847,UPI,12.68765585024259,20.799209797140776,EUR,1.347214833813358,Warehouse2,1,True
16,1372,Retail,939,53,2024-01-16,2024-01-20,61,1065.3918238448848,Cancelled,West,Zone3,12,GroupA,Unit2,5524,10682,AgentC,Small,Low,49968,0.0691161746697395,UPI,7.98779686053355,29.737816501473027,EUR,1.1042682567817148,Warehouse1,0,False
17,1099,Wholesale,597,67,2024-01-17,2024-01-21,12,5633.908277587763,Cancelled,West,Zone1,99,GroupB,Unit2,5674,10115,AgentB,Large,Low,38400,0.029677075643495532,Card,11.222928367247686,415.2913687166099,EUR,1.2621592262537855,Warehouse1,1,False
18,1871,Retail,926,12,2024-01-18,2024-01-22,61,5060.7700145957515,Cancelled,West,Zone1,66,GroupC,Unit3,5554,10840,AgentA,Large,Medium,28761,0.12720807102637718,UPI,10.278991800771433,307.7620051294747,EUR,1.2966010639874215,Warehouse2,4,True
19,1663,Retail,826,95,2024-01-19,2024-01-23,33,7091.312511337251,Delivered,South,Zone1,39,GroupA,Unit3,5897,10585,AgentC,Medium,Low,11810,0.18989908634783237,NetBanking,16.35107166946226,266.683108581054,USD,0.902775312994315,Warehouse2,3,True
20,1130,Retail,576,79,2024-01-20,2024-01-24,45,5389.476463747391,Cancelled,East,Zone3,18,GroupC,Unit1,5951,10255,AgentC,Medium,Low,31574,0.1993467540588763,Card,5.418112174701654,472.7325209011576,INR,1.4005594983540524,Warehouse2,1,False
21,1661,Retail,693,11,2024-01-21,2024-01-25,90,5453.272214617731,Pending,East,Zone2,35,GroupC,Unit2,5622,10080,AgentA,Medium,High,38562,0.07504822649938298,NetBanking,16.64597057606827,94.82636270513399,INR,1.067857944727343,Warehouse1,2,True
22,1308,Retail,322,96,2024-01-22,2024-01-26,92,4352.999841403041,Delivered,North,Zone1,11,GroupB,Unit2,5716,10779,AgentA,Large,Medium,28510,0.11980252742292247,NetBanking,13.477074877436664,136.40571143281127,EUR,0.868148082897235,Warehouse2,0,False
23,1769,Wholesale,471,53,2024-01-23,2024-01-27,69,3157.4607976726743,Cancelled,North,Zone1,71,GroupC,Unit1,5895,10127,AgentC,Large,Low,16953,0.17125353070481628,NetBanking,14.587996438128924,380.80214833545733,USD,1.392332705430755,Warehouse1,4,False
24,1343,Retail,501,11,2024-01-24,2024-01-28,8,4874.417176396702,Pending,North,Zone1,12,GroupA,Unit1,5255,10837,AgentB,Small,Low,49091,0.023492414559276798,UPI,5.033897024104238,389.8652616993854,EUR,1.034255044885003,Warehouse1,3,False
25,1491,Retail,542,90,2024-01-25,2024-01-29,25,1273.0743518071658,Cancelled,North,Zone2,55,GroupC,Unit3,5306,10914,AgentC,Large,Low,32131,0.137912882210393,NetBanking,13.167112642484021,208.39962625519058,INR,1.3002499507037757,Warehouse1,1,True
26,1413,Retail,589,44,2024-01-26,2024-01-30,91,9618.98205593254,Pending,East,Zone2,77,GroupC,Unit3,5949,10234,AgentC,Large,Low,36883,0.08176873234501365,UPI,12.650320128243338,475.97943297544236,INR,1.1384264577772742,Warehouse1,0,True
27,1805,Retail,714,96,2024-01-27,2024-01-31,46,7172.666559903323,Pending,West,Zone3,34,GroupB,Unit3,5143,10552,AgentA,Medium,High,48373,0.04122923205603282,NetBanking,11.983672233021899,469.7447430804336,USD,1.0054974017876004,Warehouse3,3,True
28,1385,Retail,372,39,2024-01-28,2024-02-01,87,9529.424455209682,Pending,West,Zone2,60,GroupC,Unit1,5657,10180,AgentC,Medium,High,15891,0.0805507237494884,UPI,15.216269137176505,16.08076037947817,INR,1.3479011320308554,Warehouse2,1,False
29,1191,Wholesale,625,17,2024-01-29,2024-02-02,30,2344.601085066636,Pending,South,Zone3,22,GroupB,Unit1,5390,10156,AgentB,Medium,High,45844,0.015192057392983372,UPI,12.226324253154568,94.44067214695527,EUR,1.1675759453156904,Warehouse2,4,True
30,1955,Retail,258,31,2024-01-30,2024-02-03,47,8805.476099747628,Delivered,West,Zone3,53,GroupB,Unit3,5812,10453,AgentA,Medium,High,28728,0.13908142971786117,UPI,16.142263464278148,411.90752642509693,USD,1.0124496819416253,Warehouse3,2,False
31,1276,Wholesale,251,53,2024-01-31,2024-02-04,87,8107.020847179031,Delivered,East,Zone3,44,GroupA,Unit3,5675,10570,AgentC,Medium,Medium,43387,0.05054853374969062,NetBanking,8.024209323325298,174.25617556474407,INR,0.7876782962681016,Warehouse2,2,True
32,1160,Wholesale,719,67,2024-02-01,2024-02-05,49,6803.808883330969,Pending,East,Zone3,64,GroupA,Unit2,5168,10856,AgentC,Small,Low,21094,0.0622811290089756,NetBanking,15.477773656632097,56.77671256291591,EUR,1.4163562510133663,Warehouse1,4,False
33,1459,Retail,287,45,2024-02-02,2024-02-06,47,6287.788942243536,Cancelled,East,Zone3,96,GroupA,Unit2,5989,10760,AgentB,Small,High,12407,0.02421625964829255,UPI,7.331066046722475,394.64959546755597,USD,0.7283756682733332,Warehouse3,0,False
34,1313,Retail,912,78,2024-02-03,2024-02-07,84,3233.8416861519127,Pending,South,Zone1,18,GroupA,Unit3,5297,10703,AgentC,Small,Low,22644,0.17293182277797836,NetBanking,15.570531295596739,232.74591773185261,EUR,1.390549878694445,Warehouse1,4,True
35,1021,Retail,197,86,2024-02-04,2024-02-08,82,8182.466771153804,Delivered,North,Zone2,11,GroupB,Unit3,5232,10023,AgentC,Medium,Medium,45772,0.09868885585654773,UPI,17.22602574477138,251.2812854905322,INR,0.9879692199065244,Warehouse3,1,False
36,1252,Retail,230,40,2024-02-05,2024-02-09,18,5065.003068649365,Cancelled,West,Zone1,70,GroupC,Unit2,5902,10472,AgentC,Medium,Low,30298,0.11442937555728006,NetBanking,9.364023850034993,101.32100051992393,EUR,1.2114710108011246,Warehouse1,0,True
37,1747,Wholesale,904,56,2024-02-06,2024-02-10,66,801.8266013237251,Delivered,East,Zone3,50,GroupA,Unit3,5270,10399,AgentC,Medium,Low,46807,0.11388653661897093,UPI,11.888522081742455,333.8385764300746,USD,1.4377597790685481,Warehouse2,2,True
38,1856,Retail,270,64,2024-02-07,2024-02-11,68,3197.3452924657868,Delivered,East,Zone2,53,GroupA,Unit2,5059,10947,AgentB,Small,High,44072,0.08209862290826836,UPI,13.55827729800092,280.1082458800827,EUR,0.8213652924031187,Warehouse2,1,True
39,1560,Retail,282,89,2024-02-08,2024-02-12,94,9359.441275598743,Cancelled,North,Zone1,73,GroupA,Unit2,5295,10591,AgentC,Medium,High,48398,0.0385059830876279,Card,6.03313165610843,111.26973951664715,INR,1.1535603805110481,Warehouse2,3,True
40,1474,Retail,463,71,2024-02-09,2024-02-13,33,8521.734579987979,Pending,East,Zone1,40,GroupC,Unit2,5466,10133,AgentC,Small,Medium,38669,0.14902654969968,NetBanking,11.423049336653563,176.76243913521134,USD,1.3115462898961536,Warehouse3,3,True
41,1058,Retail,138,39,2024-02-10,2024-02-14,36,9820.866410957738,Pending,West,Zone3,56,GroupA,Unit1,5234,10420,AgentC,Medium,Low,40161,0.02541125307153487,NetBanking,9.687604695647208,302.4708507947243,USD,1.3060670661752458,Warehouse2,3,False
42,1510,Retail,626,64,2024-02-11,2024-02-15,82,6317.134487780571,Pending,South,Zone1,11,GroupC,Unit1,5676,10212,AgentA,Large,High,17282,0.0207747580557621,Card,16.341923206267005,463.18740516237096,INR,1.120505531679603,Warehouse3,2,True
43,1681,Retail,987,25,2024-02-12,2024-02-16,19,2550.3497240900783,Pending,East,Zone1,91,GroupB,Unit3,5705,10899,AgentB,Small,High,36539,0.14202900751930067,UPI,16.39683374320824,460.9844116575309,EUR,1.1997915679251665,Warehouse1,4,False
